customer_unique_id,mes,prob_churn
7f76b3a2c201b6a4ac7db2639e278d7e,2018-09-01,0.858
44482ad67ba7af317fd50e27e5f0f009,2018-09-01,0.8577
949a5efc8cd62cbe3888026bd0ddd1f6,2018-09-01,0.8548
30b94abdcaa5b08d5d78bb3bac7a594d,2018-09-01,0.8449
b2ccf88b60413e6fb2b27e997216c0f7,2018-09-01,0.8439
a0b900ce3e523b7ded323e9b60c49cf9,2018-09-01,0.8431
d0db4c3a552894c215d57c2b52bc1ab2,2018-09-01,0.8431
d5a4d3f6a9aafad00857d4dda28f98c8,2018-09-01,0.8383
b22b660b766eee055f792b62d1f38cbc,2018-09-01,0.8374
dd029a83ea06acacf1e617fa1a702de5,2018-09-01,0.8373
6520a1a8bce100de25c96abc04cfbdb1,2018-09-01,0.8372
05eb062756e6d4358e72b1caf0ec22b1,2018-09-01,0.8363
a1ab8b0f81af19b4b5bf31c33525caa7,2018-09-01,0.836
e67246fbe2968bed4a44a0df5dbe3867,2018-09-01,0.8359
849c147acfd21f9d165c93aed9cb035d,2018-09-01,0.8357
efe8f87089ec28b1a681c20afa307784,2018-09-01,0.8356
2b6e3f29a6dea0501566fb1127e48529,2018-09-01,0.8355
e29331502ebc091c40e762683a107283,2018-09-01,0.8354
cc81b5498c0ab062c6a4d8464eb6e645,2018-09-01,0.8353
d9e3567091697477758aa2f316fdb960,2018-09-01,0.8347
5400f306b4ccbfb62154912056de293e,2018-09-01,0.8343
95d39fa16b888b9d41f5a51fe79c40f7,2018-09-01,0.8343
b28cf1534409ed866f62e2c39b470a98,2018-09-01,0.8342
814ff878d2fc663f06adf8d01af8ea7e,2018-09-01,0.8335
b5f8527886396beec206595ae092f6c1,2018-09-01,0.833
48ce3450c17d577bbe48dd240380f088,2018-09-01,0.8325
ef58367f6474f46b8188c8635a31d18a,2018-09-01,0.8314
f8705608911e57a47eb024eae31f50cc,2018-09-01,0.8305
f2ff5e0c019599cf64ffb9896edc4fee,2018-09-01,0.8301
34635d1c10e7f2f6af37f4775d5383d2,2018-09-01,0.8298
d4e6dfcac8c74ccb645213f3af53bfdb,2018-09-01,0.8296
1aeda8a7a2736542b65f15a8ff8d0f5c,2018-09-01,0.8291
2c533ae4556bd5b836ca6edc1ea42cd7,2018-09-01,0.8291
5c31a91185eda8bf28dcb69d14c0711a,2018-09-01,0.8287
045cb5df6d35c59fd8c0f2dee11a02b1,2018-09-01,0.8284
4bb176788486ddcb78b776113c086b36,2018-09-01,0.828
21dc969f69627eb5ebb1de66c5b974ab,2018-09-01,0.828
8d2cc82dae0f2b1bb8667a2eedcd8c71,2018-09-01,0.8274
7de82cbd5d67c9234798cedfa8e7ce6d,2018-09-01,0.8274
8c60a63f751a4c744a3629ebf560041f,2018-09-01,0.8271
8831da2a67b7007cd92faef855f9fb52,2018-09-01,0.8264
6e0c910d67dc3a55add6f66632b33fb6,2018-09-01,0.8262
274f2f8f9f5b99d70b2cf9c1115722b1,2018-09-01,0.8258
862f461bf6a1f5dbf360fb9cf8814757,2018-09-01,0.825
1ebf16b38edac7b012833599d86454f4,2018-09-01,0.8249
f200185118e762d8d5f06f00c9b6e9b7,2018-09-01,0.8245
80c663ae112847b03d69e4eb1e041024,2018-09-01,0.8237
25c5deca14082ccabc3abfdfcc072b6a,2018-09-01,0.8236
529d9951adf27f4afea7121d109ad61b,2018-09-01,0.8229
