customer_unique_id,mes,prob_churn
93ed318c43f54a2162e4377e7122ee0a,2018-09-01,0.9738
f700c475c69e4402aeaf4b55d531a2b2,2018-09-01,0.9726
19ec0b29446735170b035f6d2abcd667,2018-09-01,0.972
e1708ec558c8c1d8bd5e24d022cd13ce,2018-09-01,0.9707
22e2a6909c8debb64e8560df49a25260,2018-09-01,0.9666
49e32d4f13ac76d97d32f1a6e2b37df4,2018-09-01,0.9659
60ca7b9a3d66cbc1568e81f3f8332c11,2018-09-01,0.9651
9f0f58c3c4a9fbfda6fd2aa4e1d8b51e,2018-09-01,0.9642
b57adba827f671c3f3f51139ce31f482,2018-09-01,0.9617
9906fc374d7fd8d7a8574dd27b1c0c0a,2018-09-01,0.9609
f9e494e1e853b1ae259da70c7aaa317b,2018-09-01,0.9604
2c619dc3ca4a084ab5da04bfb1b01192,2018-09-01,0.9604
fdb213bb68db1651b4aec4b85a098b53,2018-09-01,0.9588
82b7ba90f0f9db6117ef25071323d270,2018-09-01,0.9583
ce53d0436a0b5d49e67638cb97d715fb,2018-09-01,0.9576
f3f9a4d3e6b3768160929fc82279a414,2018-09-01,0.9574
34cd0f2f38a66796cfbc8a33ece7448c,2018-09-01,0.9573
b0e9276c9a1616b659dba62a86625edb,2018-09-01,0.9567
44714c3d8e5b4a5ff2564f338dd5a5f6,2018-09-01,0.9566
4b7f26d90bb264ade7e4281db1b739f1,2018-09-01,0.9558
9a371e2e79f2b84ab837c96b91e8f079,2018-09-01,0.9558
1ec407f6f6e6cd3d5dc1022e970c8220,2018-09-01,0.9547
5ff3b50583f44ecf55b7e7f704ca97bd,2018-09-01,0.9538
7d7d53c398d0e34f3b6a53b4c8273207,2018-09-01,0.9538
7024c601f72720711e9bfcfb37bc0c32,2018-09-01,0.9534
ae3b415f236744102ea56e54097f16f5,2018-09-01,0.9531
00ae50eb5e1d2514f694dee1dcbbd5ae,2018-09-01,0.9529
80261e3b34f41fda13fbb4ffdf2222e7,2018-09-01,0.9523
548a09978548d2e347d494793e34c797,2018-09-01,0.9519
aa5dd0414c0e9ad24f22e06bec1dc805,2018-09-01,0.9506
ae3f45a35de98e19b3ac981ff817f044,2018-09-01,0.9504
62059f8c18d0d9915439ff6d0c0038c4,2018-09-01,0.9494
3e27ee3f48cb9cabeabd93885de3fd09,2018-09-01,0.949
8e0555f8dc7199e4170bf06d17b32dfe,2018-09-01,0.949
43a1d7fce4fffa3adb9d81586f5f3ecd,2018-09-01,0.9486
7b42fe72625f3fcd1d907014be5d8cb0,2018-09-01,0.9486
d1b1a515d00c439c119352339757376c,2018-09-01,0.9481
16a2e4356a0e4433e45df462ca7606fa,2018-09-01,0.9476
839c363922615cf40c8fe20a1fe505b6,2018-09-01,0.9472
1d7c9872acb163f50b958fa4b729dd02,2018-09-01,0.947
96c6b46b48f098925457796b7b709d6d,2018-09-01,0.9468
1b277f8bf9377e4d88b9022df406e9a6,2018-09-01,0.9467
a2979436ea8e2cadacb6bd64e8b37d9b,2018-09-01,0.9464
abf227dc917e1dd81b8149735d755b65,2018-09-01,0.9463
0eb917bbd8203a7bf6c6447610778d94,2018-09-01,0.9463
5b952e3dc4849109f9b9287dfafdec45,2018-09-01,0.946
28693ecfa07672ed4eb44f8e6c0fd4a1,2018-09-01,0.9458
97354adbd0f6a51d9c26ba45f72e5374,2018-09-01,0.9451
9a7b819bc0d6d9e9ce14fc7bb3925ff8,2018-09-01,0.9451
0cfd3bb78e947d0c37c6b6c113871fbd,2018-09-01,0.9449
f1fc483a199c20417121d6ab1c5171a4,2018-09-01,0.9448
